301,200,0
Day,Task0,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24,Task25,Task26,Task27,Task28,Task29,Task30,Task31,Task32,Task33,Task34,Task35,Task36,Task37,Task38,Task39,Task40,Task41,Task42,Task43,Task44,Task45,Task46,Task47,Task48,Task49
90,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
91,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
92,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
93,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
94,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
95,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
96,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
97,W12,W10,W5,W11,W8,W24,W9,W6,W7,W1,W21,W2,W17,W22,W13,W14,W9,W20,W0,W7,W3,W15,W12,W4,W19,W23,W10,W11,W16,W8,W6,W24,W14,W1,W18,W5,W2,W0,W9,W22,W17,W4,W3,W21,W23,W20,W15,W9,W16,W7
98,W13,W10,W24,W12,W11,W19,W5,W6,W22,W1,W18,W2,W0,W20,W23,W14,W9,W15,W17,W21,W3,W5,W12,W4,W10,W16,W23,W11,W8,W2,W6,W24,W7,W1,W13,W15,W5,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
99,W12,W17,W10,W11,W8,W2,W5,W6,W24,W7,W9,W1,W0,W22,W13,W14,W9,W20,W15,W21,W3,W18,W12,W4,W19,W23,W10,W11,W16,W8,W2,W24,W7,W1,W17,W5,W12,W6,W0,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
100,W13,W10,W24,W11,W8,W19,W5,W6,W7,W1,W9,W2,W17,W22,W20,W14,W9,W12,W0,W21,W3,W15,W5,W4,W18,W23,W10,W11,W16,W8,W6,W24,W7,W1,W13,W17,W2,W0,W19,W22,W9,W4,W14,W21,W3,W20,W15,W23,W16,W18
